MEMBER_ID,MEMBER_JCID,MEMBER_JCCompUsrnme,MEMBER_Title,MEMBER_Name,MEMBER_Gender,MEMBER_DOB,MEMBER_Phone,MEMBER_Email,MEMBER_EmgContactName,MEMBER_EmgContactPhone,MEMBER_PwdHash,MEMBER_Type
2303,14123456,jc812345,Mr,Tyler Pope,Male,2003-08-03,9123 4567,tyler.pope@my.jcu.edu.au,Nadine Pope,9456 7890,$2b$12$FqhP1GqXqkD8vE78vHT9SuNX6ltHEz/Rt5O7rjl49.CWXIjF1q3p6,Student
2304,84123456,jc123456,Mrs,Erika Bowen,Female,1953-04-07,9234 5678,erika.bowen@jcu.edu.au,NULL,NULL,$2b$12$LrKMIRY3rb9JvGK19fwR1.WIF53RSbRzmKuF7nYbbT3HTQmt4FR0y,Staff
2305,14123457,jc812346,Ms,Vera Alvarado,Female,2005-04-09,9345 6789,vera.alvarado@my.jcu.edu.au,Allen Alvarado,9567 8901,$2b$12$MEqZUmjsNxUQF.GZqc/6AeTKWQ6zLE7hHL8VIMzH/yExfRHyj5NzC,Student
2306,14123458,jc812347,Mrs,Aria Williams,Female,1998-11-14,9056 9380,aria.williams@my.jcu.edu.au,NULL,NULL,$2b$12$o01zrXX1U9q3rg.sCSGLXrxilGnR.ez9PdQn.pyeFpyPjDs9gWcnF,Student
2307,14123459,jc812348,Mrs,Ella Brown,Female,2005-06-30,9769 4964,ella.brown@my.jcu.edu.au,Alex Brown,9255 4871,$2b$12$eBWrhA6/S/Tf.AYH/MtRkDN/MBuzVYjBGrWdYjkAgSm4eBW.OoAPP,Student
2308,14123460,jc812349,Mr,Sebastian Garcia,Male,2005-03-21,9453 8055,sebastian.garcia@my.jcu.edu.au,Amanda Garcia,9554 6110,$2b$12$0YI6wyBRDAeA.dM65mD/leulUqtCbWy9RoSFZmv0JylmpbWZNDVWq,Student
2309,14123461,jc812350,Mrs,Layla Lee,Female,2001-09-08,9693 1009,layla.lee@my.jcu.edu.au,NULL,NULL,$2b$12$/mT/PD82ggGV6qXxqBTghBmR1yFLDIOg/xhm3FprZ0BWSNy6/dZej,Student
2310,14123462,jc812351,Mr,Michael Gonzalez,Male,1999-10-19,9815 2994,michael.gonzalez@my.jcu.edu.au,Rachel Gonzalez,9351 7859,$2b$12$jssY.j8He9czC0TEO9LhKk.pFSO.hZbPDVuW8XmRS7Rn6uaipCK//,Student
2311,14123463,jc812352,Mrs,Ella Clark,Female,2004-08-11,9045 4280,ella.clark@my.jcu.edu.au,David Clark,9637 4411,$2b$12$6wv9FLzJpW6UAid7geRfUZV4e.6YCsv26v7XDos90wmyaBs/bTKXm,Student
2312,14123464,jc812353,Mr,Oliver Hernandez,Male,2001-01-14,9631 0187,oliver.hernandez@my.jcu.edu.au,Linda Hernandez,9204 7682,$2b$12$gluufybP5WGDhRW3DRNKcTD8f3xoV5rC5AbzGycyLCflZjHtlwECA,Student
